s,mu-m,,C
 7.8100000E+000, 1.1813255E+003, 9.6911801E-001,-4.0683229E+000
 8.1100000E+000, 1.1806595E+003, 9.6802565E-001,-4.0890997E+000
 8.4100000E+000, 1.1799941E+003, 9.6693483E-001,-4.1076734E+000
 8.7100000E+000, 1.1793292E+003, 9.6584541E-001,-4.1242784E+000
 9.0100000E+000, 1.1786647E+003, 9.6475727E-001,-4.1391242E+000
 9.3100000E+000, 1.1780005E+003, 9.6367029E-001,-4.1523978E+000
 9.6100000E+000, 1.1773366E+003, 9.6258438E-001,-4.1642664E+000
 9.9100000E+000, 1.1766729E+003, 9.6149944E-001,-4.1748796E+000
 1.0210000E+001, 1.1760094E+003, 9.6041539E-001,-4.1843710E+000
 1.0510000E+001, 1.1753460E+003, 9.5933217E-001,-4.1928600E+000
 1.0810000E+001, 1.1746828E+003, 9.5824971E-001,-4.2004533E+000
 1.1110000E+001, 1.1740195E+003, 9.5716795E-001,-4.2072464E+000
 1.1410000E+001, 1.1733563E+003, 9.5608684E-001,-4.2133245E+000
 1.1710000E+001, 1.1726931E+003, 9.5500635E-001,-4.2187639E+000
 1.2010000E+001, 1.1720299E+003, 9.5392642E-001,-4.2236327E+000
 1.2310000E+001, 1.1713666E+003, 9.5284702E-001,-4.2279918E+000
 1.2610000E+001, 1.1707033E+003, 9.5176813E-001,-4.2318956E+000
 1.2910000E+001, 1.1700398E+003, 9.5068971E-001,-4.2353929E+000
 1.3210000E+001, 1.1693763E+003, 9.4961174E-001,-4.2385270E+000
 1.3510000E+001, 1.1687126E+003, 9.4853419E-001,-4.2413369E+000
 1.3810000E+001, 1.1680489E+003, 9.4745705E-001,-4.2438572E+000
 1.4110000E+001, 1.1673850E+003, 9.4638030E-001,-4.2461189E+000
 1.4410000E+001, 1.1667209E+003, 9.4530391E-001,-4.2481499E+000
 1.4710000E+001, 1.1660567E+003, 9.4422789E-001,-4.2499747E+000
 1.5010000E+001, 1.1653923E+003, 9.4315220E-001,-4.2516157E+000
 1.5310000E+001, 1.1647277E+003, 9.4207686E-001,-4.2530924E+000
 1.5610000E+001, 1.1640630E+003, 9.4100183E-001,-4.2544226E+000
 1.5910000E+001, 1.1633981E+003, 9.3992712E-001,-4.2556220E+000
 1.6210000E+001, 1.1627329E+003, 9.3885272E-001,-4.2567048E+000
 1.6510000E+001, 1.1620676E+003, 9.3777861E-001,-4.2576833E+000
 1.6810000E+001, 1.1614021E+003, 9.3670480E-001,-4.2585690E+000
 1.7110000E+001, 1.1607364E+003, 9.3563128E-001,-4.2593718E+000
 1.7410000E+001, 1.1600705E+003, 9.3455804E-001,-4.2601006E+000
 1.7710000E+001, 1.1594044E+003, 9.3348508E-001,-4.2607635E+000
 1.8000000E+001, 1.1587603E+003, 9.3244815E-001,-4.2613483E+000
 1.8300000E+001, 1.1580937E+003, 9.3137573E-001,-4.2619015E+000
 1.8600000E+001, 1.1574270E+003, 9.3030358E-001,-4.2624077E+000
 1.8900000E+001, 1.1567600E+003, 9.2923169E-001,-4.2628720E+000
 1.9200000E+001, 1.1560928E+003, 9.2816007E-001,-4.2632989E+000
 1.9500000E+001, 1.1554254E+003, 9.2708871E-001,-4.2636926E+000
 1.9800000E+001, 1.1547577E+003, 9.2601761E-001,-4.2640565E+000
 2.0100000E+001, 1.1540898E+003, 9.2494677E-001,-4.2643939E+000
 2.0400000E+001, 1.1534217E+003, 9.2387619E-001,-4.2647077E+000
 2.0700000E+001, 1.1527534E+003, 9.2280587E-001,-4.2650005E+000
 2.1000000E+001, 1.1520849E+003, 9.2173580E-001,-4.2652745E+000
 2.1300000E+001, 1.1514161E+003, 9.2066598E-001,-4.2655317E+000
 2.1600000E+001, 1.1507471E+003, 9.1959642E-001,-4.2657740E+000
 2.1900000E+001, 1.1500778E+003, 9.1852712E-001,-4.2660031E+000
 2.2200000E+001, 1.1494084E+003, 9.1745806E-001,-4.2662202E+000
 2.2500000E+001, 1.1487387E+003, 9.1638926E-001,-4.2664268E+000
 2.2800000E+001, 1.1480687E+003, 9.1532072E-001,-4.2666240E+000
 2.3100000E+001, 1.1473986E+003, 9.1425242E-001,-4.2668127E+000
 2.3400000E+001, 1.1467282E+003, 9.1318437E-001,-4.2669940E+000
 2.3700000E+001, 1.1460575E+003, 9.1211658E-001,-4.2671685E+000
 2.4000000E+001, 1.1453867E+003, 9.1104904E-001,-4.2673371E+000
 2.4300000E+001, 1.1447156E+003, 9.0998175E-001,-4.2675004E+000
 2.4600000E+001, 1.1440442E+003, 9.0891471E-001,-4.2676589E+000
 2.4900000E+001, 1.1433726E+003, 9.0784793E-001,-4.2678131E+000
 2.5200000E+001, 1.1427008E+003, 9.0678139E-001,-4.2679636E+000
 2.5500000E+001, 1.1420288E+003, 9.0571511E-001,-4.2681107E+000
 2.5800000E+001, 1.1413565E+003, 9.0464908E-001,-4.2682548E+000
 2.6100000E+001, 1.1406840E+003, 9.0358330E-001,-4.2683962E+000
 2.6400000E+001, 1.1400112E+003, 9.0251778E-001,-4.2685352E+000
 2.6700000E+001, 1.1393382E+003, 9.0145250E-001,-4.2686720E+000
 2.7000000E+001, 1.1386650E+003, 9.0038748E-001,-4.2688069E+000
 2.7300000E+001, 1.1379915E+003, 8.9932271E-001,-4.2689401E+000
 2.7600000E+001, 1.1373178E+003, 8.9825820E-001,-4.2690717E+000
 2.7900000E+001, 1.1366439E+003, 8.9719394E-001,-4.2692021E+000
 2.8200000E+001, 1.1359697E+003, 8.9612993E-001,-4.2693314E+000
 2.8500000E+001, 1.1352952E+003, 8.9506617E-001,-4.2694597E+000
 2.8800000E+001, 1.1346206E+003, 8.9400267E-001,-4.2695871E+000
 2.9100000E+001, 1.1339457E+003, 8.9293942E-001,-4.2697137E+000
 2.9400000E+001, 1.1332705E+003, 8.9187643E-001,-4.2698396E+000
 2.9700000E+001, 1.1325951E+003, 8.9081369E-001,-4.2699648E+000
 3.0000000E+001, 1.1319195E+003, 8.8975121E-001,-4.2700895E+000
