s,kW,C,kg/m2/s,m,kW/m2
 1.520E+002, 2.473E-001, 7.410E+002, 0.000E+000, 1.790E-002, 7.945E+001
 1.540E+002, 2.340E-002, 7.416E+002, 0.000E+000, 1.790E-002, 7.951E+001
 1.560E+002, 7.856E-004, 7.398E+002, 0.000E+000, 1.790E-002, 7.889E+001
 1.580E+002, 9.480E-006, 7.395E+002, 0.000E+000, 1.790E-002, 7.872E+001
 1.600E+002, 2.931E-008, 7.411E+002, 0.000E+000, 1.790E-002, 7.964E+001
 1.620E+002, 0.000E+000, 7.399E+002, 0.000E+000, 1.790E-002, 7.879E+001
 1.640E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.970E+001
 1.660E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.930E+001
 1.680E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.975E+001
 1.700E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.940E+001
 1.720E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.978E+001
 1.740E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.897E+001
 1.760E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.924E+001
 1.780E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.946E+001
 1.800E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.970E+001
 1.820E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.926E+001
 1.840E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.982E+001
 1.860E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.971E+001
 1.880E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.974E+001
 1.900E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.950E+001
 1.920E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.894E+001
 1.940E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.943E+001
 1.960E+002, 0.000E+000, 7.393E+002, 0.000E+000, 1.790E-002, 7.863E+001
 1.980E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.932E+001
 2.000E+002, 0.000E+000, 7.394E+002, 0.000E+000, 1.790E-002, 7.879E+001
 2.020E+002, 0.000E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.913E+001
 2.040E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.960E+001
 2.060E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.990E+001
 2.080E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.941E+001
 2.100E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.924E+001
 2.120E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.972E+001
 2.140E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.970E+001
 2.160E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.947E+001
 2.180E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.959E+001
 2.200E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.886E+001
 2.220E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.968E+001
 2.240E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.962E+001
 2.260E+002, 0.000E+000, 7.424E+002, 0.000E+000, 1.790E-002, 8.008E+001
 2.280E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.961E+001
 2.300E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.973E+001
 2.320E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.948E+001
 2.340E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 7.981E+001
 2.360E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.966E+001
 2.380E+002, 0.000E+000, 7.424E+002, 0.000E+000, 1.790E-002, 7.998E+001
 2.400E+002, 0.000E+000, 7.428E+002, 0.000E+000, 1.790E-002, 8.019E+001
 2.420E+002, 0.000E+000, 7.426E+002, 0.000E+000, 1.790E-002, 7.979E+001
 2.440E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 7.962E+001
 2.460E+002, 0.000E+000, 7.423E+002, 0.000E+000, 1.790E-002, 7.990E+001
 2.480E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.940E+001
 2.500E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.929E+001
 2.520E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.981E+001
 2.540E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.955E+001
 2.560E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.942E+001
 2.580E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.943E+001
 2.600E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.928E+001
 2.620E+002, 0.000E+000, 7.424E+002, 0.000E+000, 1.790E-002, 8.014E+001
 2.640E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.965E+001
 2.660E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.914E+001
 2.680E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.966E+001
 2.700E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.910E+001
 2.720E+002, 0.000E+000, 7.396E+002, 0.000E+000, 1.790E-002, 7.874E+001
 2.740E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.938E+001
 2.760E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.898E+001
 2.780E+002, 0.000E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.898E+001
 2.800E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.937E+001
 2.820E+002, 0.000E+000, 7.394E+002, 0.000E+000, 1.790E-002, 7.871E+001
 2.840E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.961E+001
 2.860E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.954E+001
 2.880E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.970E+001
 2.900E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.959E+001
 2.920E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.903E+001
 2.940E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.918E+001
 2.960E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.899E+001
 2.980E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.926E+001
 3.000E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.949E+001
 3.020E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.941E+001
 3.040E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.913E+001
 3.060E+002, 0.000E+000, 7.389E+002, 0.000E+000, 1.790E-002, 7.857E+001
 3.080E+002, 0.000E+000, 7.393E+002, 0.000E+000, 1.790E-002, 7.897E+001
 3.100E+002, 0.000E+000, 7.395E+002, 0.000E+000, 1.790E-002, 7.894E+001
 3.120E+002, 0.000E+000, 7.395E+002, 0.000E+000, 1.790E-002, 7.912E+001
 3.140E+002, 0.000E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.925E+001
 3.160E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 8.012E+001
 3.180E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.946E+001
 3.200E+002, 0.000E+000, 7.399E+002, 0.000E+000, 1.790E-002, 7.889E+001
 3.220E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.951E+001
 3.240E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.913E+001
 3.260E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.977E+001
 3.280E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.924E+001
 3.300E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.936E+001
 3.320E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.992E+001
 3.340E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.915E+001
 3.360E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.909E+001
 3.380E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.953E+001
 3.400E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.936E+001
 3.420E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.962E+001
 3.440E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 8.003E+001
 3.460E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.888E+001
 3.480E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.978E+001
 3.500E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.943E+001
 3.520E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.984E+001
 3.540E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.875E+001
 3.560E+002, 0.000E+000, 7.400E+002, 0.000E+000, 1.790E-002, 7.916E+001
 3.580E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.932E+001
 3.600E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.938E+001
 3.620E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 8.004E+001
 3.640E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.958E+001
 3.660E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.971E+001
 3.680E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.968E+001
 3.700E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.966E+001
 3.720E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.925E+001
 3.740E+002, 0.000E+000, 7.424E+002, 0.000E+000, 1.790E-002, 8.015E+001
 3.760E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.940E+001
 3.780E+002, 0.000E+000, 7.416E+002, 0.000E+000, 1.790E-002, 7.950E+001
 3.800E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.928E+001
 3.820E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.928E+001
 3.840E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.948E+001
 3.860E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.930E+001
 3.880E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.984E+001
 3.900E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.920E+001
 3.920E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.926E+001
 3.940E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.918E+001
 3.960E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.955E+001
 3.980E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.939E+001
 4.000E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.968E+001
 4.020E+002, 0.000E+000, 7.416E+002, 0.000E+000, 1.790E-002, 7.966E+001
 4.040E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.908E+001
 4.060E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.944E+001
 4.080E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.914E+001
 4.100E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.924E+001
 4.120E+002, 0.000E+000, 7.407E+002, 0.000E+000, 1.790E-002, 7.940E+001
 4.140E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.921E+001
 4.160E+002, 0.000E+000, 7.416E+002, 0.000E+000, 1.790E-002, 7.987E+001
 4.180E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.998E+001
 4.200E+002, 0.000E+000, 7.426E+002, 0.000E+000, 1.790E-002, 8.011E+001
 4.220E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 7.987E+001
 4.240E+002, 0.000E+000, 7.424E+002, 0.000E+000, 1.790E-002, 7.983E+001
 4.260E+002, 0.000E+000, 7.423E+002, 0.000E+000, 1.790E-002, 7.978E+001
 4.280E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 7.971E+001
 4.300E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.911E+001
 4.320E+002, 0.000E+000, 7.416E+002, 0.000E+000, 1.790E-002, 7.959E+001
 4.340E+002, 0.000E+000, 7.416E+002, 0.000E+000, 1.790E-002, 7.955E+001
 4.360E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.948E+001
 4.380E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.892E+001
 4.400E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.903E+001
 4.420E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.906E+001
 4.440E+002, 0.000E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.916E+001
 4.460E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.968E+001
 4.480E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.937E+001
 4.500E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.954E+001
 4.520E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.950E+001
 4.540E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.934E+001
 4.560E+002, 0.000E+000, 7.392E+002, 0.000E+000, 1.790E-002, 7.891E+001
 4.580E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.935E+001
 4.600E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 8.002E+001
 4.620E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.893E+001
 4.640E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.932E+001
 4.660E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 8.002E+001
 4.680E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.952E+001
 4.700E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.928E+001
 4.720E+002, 0.000E+000, 7.423E+002, 0.000E+000, 1.790E-002, 8.013E+001
 4.740E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.894E+001
 4.760E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.925E+001
 4.780E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.949E+001
 4.800E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.887E+001
 4.820E+002, 0.000E+000, 7.391E+002, 0.000E+000, 1.790E-002, 7.891E+001
 4.840E+002, 0.000E+000, 7.393E+002, 0.000E+000, 1.790E-002, 7.889E+001
 4.860E+002, 0.000E+000, 7.383E+002, 0.000E+000, 1.790E-002, 7.852E+001
 4.880E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.966E+001
 4.900E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.949E+001
 4.920E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.944E+001
 4.940E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.949E+001
 4.960E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.980E+001
 4.980E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 8.010E+001
 5.000E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 7.988E+001
 5.020E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 7.978E+001
 5.040E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.963E+001
 5.060E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.959E+001
 5.080E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.982E+001
 5.100E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.944E+001
 5.120E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.875E+001
 5.140E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.967E+001
 5.160E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.919E+001
 5.180E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.908E+001
 5.200E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 8.020E+001
 5.220E+002, 0.000E+000, 7.426E+002, 0.000E+000, 1.790E-002, 8.009E+001
 5.240E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.909E+001
 5.260E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.954E+001
 5.280E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.998E+001
 5.300E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 7.962E+001
 5.320E+002, 0.000E+000, 7.423E+002, 0.000E+000, 1.790E-002, 8.008E+001
 5.340E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.932E+001
 5.360E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.923E+001
 5.380E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.943E+001
 5.400E+002, 0.000E+000, 7.405E+002, 0.000E+000, 1.790E-002, 7.920E+001
 5.420E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.924E+001
 5.440E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.991E+001
 5.460E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.919E+001
 5.480E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 8.022E+001
 5.500E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 7.977E+001
 5.520E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.955E+001
 5.540E+002, 0.000E+000, 7.421E+002, 0.000E+000, 1.790E-002, 8.001E+001
 5.560E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.887E+001
 5.580E+002, 0.000E+000, 7.402E+002, 0.000E+000, 1.790E-002, 7.911E+001
 5.600E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.986E+001
 5.620E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.971E+001
 5.640E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.956E+001
 5.660E+002, 0.000E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.953E+001
 5.680E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.914E+001
 5.700E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.934E+001
 5.720E+002, 0.000E+000, 7.400E+002, 0.000E+000, 1.790E-002, 7.896E+001
 5.740E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.919E+001
 5.760E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.917E+001
 5.780E+002, 0.000E+000, 7.400E+002, 0.000E+000, 1.790E-002, 7.897E+001
